,name,description,host_name,host_response_time,host_response_rate,neighbourhood,room_type,accommodates,amenities,price,has_availability,review_accuracy,cleanliness,location_review,good_property,longitude,latitude
393,Cozy Studio at Plaza Catalunya,"A small, cozy apartment perfect for a couple, in the center of Barcelona, next to Cataluna Square but in a quiet street with no traffic, on the 1st floor of an antique building without lift. Minimum stay: 31 nights.<br /><br /><b>The space</b><br />If you want to feel like a local in a charming, recently refurbished apartment in the center of Barcelona, this is your place! Located only 30 seconds away from the city's center: Plaça Catalunya, the best area of Barcelona full of shops, bars, restaurants, night life and a walking distance many touristic attractions and arts. There are many bus, subway and train lines and the aerobus stop is one minute walking from the flat. <br /><br />Being so central, it's very quiet because it's located in the small, narrow, quiet street with no traffic on the 1st floor of an antique building without lift.<br /><br />The apartment has been completely renovated and decorated to offer our guests a comfortable and pleasant stay, providing everything needed",Ewa & Pau,within an hour,96%,"Barcelona, Catalunya, Spain",Entire home/apt,4,"[""Refrigerator"", ""Stove"", ""Wifi"", ""Host greets you"", ""Patio or balcony"", ""Coffee maker"", ""Room-darkening shades"", ""Babysitter recommendations"", ""Bed linens"", ""Paid parking on premises"", ""Hot water"", ""Washer"", ""Air conditioning"", ""Essentials"", ""Dishes and silverware"", ""Microwave"", ""Paid parking off premises"", ""Cooking basics"", ""Hair dryer"", ""Dryer"", ""Extra pillows and blankets"", ""Hangers"", ""Kitchen"", ""Bathtub"", ""Iron"", ""Heating"", ""Dedicated workspace"", ""Long term stays allowed""]",99.0,t,9.0,10.0,10.0,T,2.17214,41.38738
394,AB Bailén Apartment - Ref. GI1602,"This comfortable four bedroom apartment in Barcelona, is situated in the lovely area of L´Eixample. Guests will find themselves close to some of Gaudí´s most famous masterpieces such as La Sagrada Familia and La Pedrera making this location the ideal place to begin exploring the city! All of Barcelona´s other fantastic sights are easily accessible on foot or by public transportation from this modern, city center apartment.This apartment sleeps up to 9 people, with 5 single beds, one double bed an a sofa bed distributed throughout. There are two bathrooms available in this apartment.The lounge/kitchen in this apartment has an open plan design, creating a spacious feel within the apartment. With a double sofa bed and satellite TV available, guests will be able to kick back and relax after a day of exploring the Mediterranean city! An Internet connection can also be found. From the living area, you will have direct access to a sizeable balcony, the perfect place to enjoy a glass of wine i",Eva&Jack,within a few hours,88%,"BARCELONA, city, Spain",Entire home/apt,9,"[""Elevator"", ""Refrigerator"", ""Hot water"", ""Oven"", ""Washer"", ""Wifi"", ""Cooking basics"", ""Air conditioning"", ""Essentials"", ""Patio or balcony"", ""Shampoo"", ""Kitchen"", ""Iron"", ""Dishwasher"", ""Smart lock"", ""Dishes and silverware"", ""TV"", ""Hangers""]",98.0,t,9.0,9.0,10.0,T,2.17045,41.3954
395,Barcelona Comtal 43 apartment,"The Comtal 43 apartment has been opened just a couple of years ago. It is located in the Sant Antoni neighbourhood, very close to the Ramblas, in a quiet and residencial area, with shops and markets around that will make you feel like home.<br /><br /><b>The space</b><br />Barcelona Comtal 43, stylishly decorated, offers a double bedroom, a comfortable living room with a sofa-bed for 2 persons, a bathroom and a kitchen equipada.Este apartment is located in the same building as the Barcelona Comtal 41, 42, 51, 52 and 53.<br /><br />Tourist tax of 2,48€ ppn not included in the price. Check-ins after 21h carry an extra charge of 30€.<br /><br /><b>Guest access</b><br />Features and services included:<br />- 1 bedroom with double bed<br />- Private Sunroom<br />- Bathroom with bath<br />- Fully equipped kitchen with microwave, toaster, kettle, cooking utensils and washing machine, fridge<br />- Lounge / dining room with sofa bed for 1 person and local TV channels<br />- Cot and high chair ",Inmuebles,within a few hours,90%,"Barcelona, Catalonia, Spain",Entire home/apt,4,"[""Elevator"", ""Kitchen"", ""Microwave"", ""Coffee maker"", ""Long term stays allowed"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""Hangers"", ""Iron"", ""Oven"", ""Luggage dropoff allowed"", ""Shampoo"", ""Washer"", ""Paid parking off premises"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Patio or balcony"", ""Crib"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Bed linens"", ""Essentials"", ""TV"", ""Stove"", ""Host greets you"", ""Shower gel""]",98.0,t,10.0,10.0,9.0,T,2.1617900000000003,41.37754
396,Barcelona Comtal 51 apartment,"If you're planning to come to Barcelona soon, and want to be close to the city center but at the same time away from tourists, we recommend the Comtal 51 apartment, recently built, with all the facilities for you and your family.<br /><br /><b>The space</b><br />The apartment Comtal 51 is perfect for couples, offers a room with a double bed, a living room with sofa bed for 1 person, a bathroom and a fully equipped kitchen.<br /><br />This apartment has a sunroom very quiet and pleasant. The apartment enjoys lots of natural light into the living room and bedroom.<br /><br />Tourist tax of 2,48€ ppn not included in the price. Check-ins after 21h carry an extra charge of 30€.<br /><br /><b>Guest access</b><br />One masterbedroom with double bed<br />Sofa bed in the livingroom<br />Fully equipped kitchen <br />Living and dining room<br />Complete bathroom<br />Towels and linen<br />Wifi in the whole apartment<br /><br /><b>Other things to note</b><br />The apartment has been recently refor",Inmuebles,within a few hours,90%,"Barcelona, Catalonia, Spain",Entire home/apt,4,"[""Kitchen"", ""Microwave"", ""Elevator"", ""Coffee maker"", ""Long term stays allowed"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""Hangers"", ""Iron"", ""Oven"", ""Luggage dropoff allowed"", ""Shampoo"", ""Washer"", ""Paid parking off premises"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Crib"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Essentials"", ""TV"", ""Stove"", ""Host greets you""]",98.0,t,9.0,9.0,10.0,T,2.1617900000000003,41.37754
397,Barcelona Comtal 52 apartment,"If you're looking for comfort, luminosity, and being close to the city center, don't hesitate to book the Comtal 52 apartment, located in Sant Antoni. It has been recently built, and offers all the facilities that you need while in Barcelona.<br /><br /><b>The space</b><br />Comtal 52 is a perfect choice for a couple or a small family as it offers a double bedroom, a living room with sofa bed for 1 person, a bathroom and a kitchen. It has a fresh and bright decor with modern touches.<br /><br />Tourist tax of 2,48€ ppn not included in the price. Check-ins after 21h carry an extra charge of 30€.<br /><br /><b>Guest access</b><br />Located in the same building of the apartments Comtal 51 and 53. Services included in the apartment:<br />- 1 bedroom with double bed<br />- Private Sunroom<br />- Bathroom with bath<br />- Fully equipped kitchen with microwave, toaster, kettle, utensils for cooking and washing machine, fridge<br />- Lounge / dining room with sofa bed for 1 person and local TV",Inmuebles,within a few hours,90%,"Barcelona, Catalonia, Spain",Entire home/apt,4,"[""Elevator"", ""Kitchen"", ""Microwave"", ""Coffee maker"", ""Long term stays allowed"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""Hangers"", ""Iron"", ""Oven"", ""Luggage dropoff allowed"", ""Shampoo"", ""Washer"", ""Paid parking off premises"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Crib"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Essentials"", ""TV"", ""Stove"", ""Host greets you""]",98.0,t,10.0,10.0,10.0,T,2.1617900000000003,41.37754
398,Barcelona Comtal 53 apartment,"Sant Antoni is one of the most changing neighbourhoods of the city, full of shops, markets, restaurants and bars, and still close to the city center. So why not staying in the Comtal 53 apartment then?<br /><br /><b>The space</b><br />Barcelona Comtal 53, stylishly decorated, offers a double bedroom, a comfortable living room with a sofa-bed for 2 persons, a bathroom and a kitchen equipada.Este apartment is located in the same building as the Barcelona Comtal 51, 52 and 53.<br /><br />Tourist tax of 2,48€ ppn not included in the price. Check-ins after 21h carry an extra charge of 30€.<br /><br /><b>Guest access</b><br />Features and services included:<br />- 1 bedroom with double bed<br />- Bathroom with bath<br />- Fully equipped kitchen with microwave, toaster, kettle, cooking utensils and washing machine, fridge<br />- Lounge / dining room with sofa bed for 1 person and local TV channels<br />- Cot and high chair available on request at no additional cost<br />- Towels and linen<br ",Inmuebles,within a few hours,90%,"Barcelona, Catalonia, Spain",Entire home/apt,4,"[""Elevator"", ""Kitchen"", ""Microwave"", ""Coffee maker"", ""Long term stays allowed"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""Hangers"", ""Iron"", ""Oven"", ""Luggage dropoff allowed"", ""Shampoo"", ""Washer"", ""Paid parking off premises"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Crib"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Essentials"", ""TV"", ""Stove"", ""Host greets you""]",98.0,t,9.0,10.0,10.0,T,2.16181,41.37746
399,Barcelona Comtal 42 apartment,"The Comtal 42 apartment is located in the heart of the authentic neighbourhood of Sant Antoni. It is a brand new apartment, with plenty of sunshine, and with all the facilities to make your stay comfortable and pleasurable.<br /><br /><b>The space</b><br />Comtal 42 is a perfect choice for a couple or a small family as it offers a double bedroom, a living room, a bathroom and a kitchen. It has a fresh and bright decor with modern touches.<br /><br />Located in the same building of the apartments Comtal 41, 43, 51, 52 and 53. <br /><br />Tourist tax of 2,48€ ppn not included in the price. Check-ins after 21h carry an extra charge of 30€.<br /><br /><b>Guest access</b><br />Services included in the apartment:<br />- 1 bedroom with double bed<br />- Private Sunroom<br />- Bathroom with bath<br />- Fully equipped kitchen with microwave, toaster, kettle, utensils for cooking and washing machine, fridge<br />- Lounge / dining room and local TV channels<br />- Cot and high chair available on ",Inmuebles,within a few hours,90%,"Barcelona, Catalonia, Spain",Entire home/apt,2,"[""Elevator"", ""Kitchen"", ""Microwave"", ""Coffee maker"", ""Long term stays allowed"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""Hangers"", ""Iron"", ""Oven"", ""Luggage dropoff allowed"", ""Shampoo"", ""Washer"", ""Paid parking off premises"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Patio or balcony"", ""Crib"", ""Hair dryer"", ""Air conditioning"", ""Garden or backyard"", ""Dishes and silverware"", ""Essentials"", ""TV"", ""Stove"", ""Host greets you""]",98.0,t,9.0,9.0,9.0,T,2.1617900000000003,41.37754
400,Precioso Estudio en Barcelona *Bcn* E04,"PRECIO ESPECIAL POR ALQUILER POR SEMANAS O MESES. CONSÚLTANOS!<br /><br />Confortable, hogareño y funcional estudio en edificio completamente rehabilitado. Localizado en el distinguido barrio Eixample derecho de Barcelona,  donde se encuentran los lugares más emblemáticos de la ciudad.<br /><br /><b>The space</b><br />Este moderno y equipado estudio está diseñado para garantizar una estancia cómoda y confortable.<br /><br />Se accede por el hall de entrada, encontrándose justo a un lado, el closet.<br /><br />Seguidamente se accede a un espacio abierto donde encontramos el dormitorio que se halla separado del resto del estudio por una pared que linda con la cocina. La cama doble de 1800cm x 200cm dispone de mesitas de noche con luz e iluminación de lectura.<br /><br />Tras el dormitorio se encuentra el espacio general comprendido por la cocina integrada y la sala, donde podremos cocinar, leer, mirar TV o relajarse en el gran sofá que se halla en la sala. Este sofá puede convertirse en ",Flateli,within a few hours,93%,"Barcelona, Catalunya, Spain",Entire home/apt,3,"[""Elevator"", ""Stove"", ""Refrigerator"", ""Wifi"", ""Shower gel"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Shampoo"", ""Coffee maker"", ""Room-darkening shades"", ""Dishwasher"", ""Bed linens"", ""Keypad"", ""TV"", ""Hot water"", ""Washer"", ""Air conditioning"", ""Essentials"", ""Dishes and silverware"", ""Microwave"", ""Paid parking off premises"", ""Cooking basics"", ""Hair dryer"", ""Dryer"", ""Extra pillows and blankets"", ""Hangers"", ""Kitchen"", ""Iron"", ""Heating"", ""Dedicated workspace"", ""Long term stays allowed""]",98.0,t,9.0,10.0,10.0,T,2.17385,41.39686
401,Livingstone 2BR luxury apartment in Eixample,"A mix of influences come together to create this sleek, ultramodern apartment on smart Urgell street, close to the Sant Antoni market, an area which is undergoing great revival, and now one of Barcelona's coolest spots for restaurants and nightlife.<br /><br /><b>The space</b><br />“Under the mango tree which then stood here, Henry M. Stanley met David Livingstone, 10 November 1871.”- Plaque at the Livingstone Memorial Monument in Ujiji at Lake Tanganyika, Tanzania.<br /><br />What's in the gift box?<br /><br />    • 2 double bedrooms (beds size 140 cm)<br />    • 2 full bathrooms with bathtub or walk-in cabin shower<br />    • size 77 m2 (829 sqf)<br />    • original pieces of furniture and oil paintings brought from South Africa<br />    • smart TV with international news and entertainmnet channels, connected to internet<br />    • fully equipped pristine white kitchen with washer, dryer, dishwasher, toaster, coffee maker, kettle...<br />    • central air conditioning and central hea",Jaume,within a day,80%,"Barcelona, Catalonia, Spain",Entire home/apt,4,"[""Elevator"", ""Kitchen"", ""Microwave"", ""Coffee maker"", ""Long term stays allowed"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""High chair"", ""Paid parking on premises"", ""Dishwasher"", ""Babysitter recommendations"", ""Hangers"", ""Iron"", ""Private entrance"", ""Smoke alarm"", ""Dryer"", ""Oven"", ""Luggage dropoff allowed"", ""Shampoo"", ""Bathtub"", ""Washer"", ""Paid parking off premises"", ""Pack \u2019n Play/travel crib"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Extra pillows and blankets"", ""Hair dryer"", ""Air conditioning"", ""Cable TV"", ""Room-darkening shades"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Bed linens"", ""Building staff"", ""Body soap"", ""Essentials"", ""TV"", ""Fire extinguisher"", ""Pocket wifi"", ""Stove""]",98.0,t,10.0,10.0,10.0,T,2.16059,41.3815
402,Precioso Apartamento en Barcelona *Bcn* A02,"PRECIO ESPECIAL POR ALQUILER POR SEMANAS O MESES. CONSÚLTANOS!<br /><br />Confortable, hogareño y funcional apartamento en edificio completamente rehabilitado. Localizado en el distinguido barrio Eixample derecho de Barcelona,  donde se encuentran los lugares más emblemáticos de la ciudad.<br /><br /><b>The space</b><br />Este moderno y equipado apartamento está diseñado para garantizar una estancia cómoda y confortable. <br /><br />Se accede por el hall de entrada, encontrándose justo a un lado, el walk-in closet. <br /><br />Seguidamente, se accede a un espacio abierto donde encontramos la cocina y una sala grande, donde podremos cocinar, leer, mirar TV o relajarse en el gran sofá. Este sofá puede convertirse en cama doble alojando así 2 huéspedes más.<br /><br /> La sala linda con el dormitorio en suite, totalmente separado del resto del apartamento. La cama del dormitorio puede dividirse en dos camas individuales de 90cm por 200cm y dispone de mesitas de noche con luz e iluminación",Flateli,within a few hours,93%,"Barcelona, Catalunya, Spain",Entire home/apt,3,"[""Elevator"", ""Refrigerator"", ""Stove"", ""Wifi"", ""Fire extinguisher"", ""Shampoo"", ""Coffee maker"", ""Bed linens"", ""Keypad"", ""TV"", ""Paid parking on premises"", ""Hot water"", ""Air conditioning"", ""Essentials"", ""Dishes and silverware"", ""Paid parking off premises"", ""Cooking basics"", ""Hair dryer"", ""Hangers"", ""Kitchen"", ""Heating""]",98.0,t,10.0,9.0,10.0,T,2.17487,41.39784
403,Charming apartment in a real Barcelona surrounding,"This stunning 3 bedroom apartment in Barcelona Eixample is ideal for when you are travelling with a group for business or leisure. Favourable location near public transportation. Wifi available and 2 bathrooms.<br /><br /><b>The space</b><br />Great space with an amazing bright gallery. It has 3 bedrooms and 2 complete bathrooms. A stylish minimalist design, combined with the modernist style elements original of the house (built beginning of the 20st century).<br /><br />When decorating I tried to respect the old structures, like the mosaic flooring, original ceiling, windows, etc. But I wanted to give a contrast to it for which the choice of the deco is modern and fresh.<br /><br />Entering the apartment you will find an individual bedroom on your right had, followed by the kitchen. Continuing the hallway on the left you will find another bedroom with 2 individual beds. Just across the hall again on the right a small bathroom and next to it a big bathroom. At the end of the hall there",Ralph,within a few hours,83%,"Barcelona, Catalonia, Spain",Entire home/apt,6,"[""Elevator"", ""Kitchen"", ""Microwave"", ""Coffee maker"", ""Long term stays allowed"", ""Hot water"", ""Cooking basics"", ""Dishwasher"", ""Hangers"", ""Iron"", ""Smoke alarm"", ""Oven"", ""Luggage dropoff allowed"", ""Shampoo"", ""Washer"", ""Paid parking off premises"", ""Pack \u2019n Play/travel crib"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Crib"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Essentials"", ""TV"", ""Stove"", ""Host greets you""]",97.0,t,9.0,9.0,9.0,T,2.15623,41.38501
404,ALGUERA Apartments - 3 Bedroom Apartment for 7 pax,"The Alguera Apartments are equipped with free WIFI and include a cozy living room with flat-screen TV, DVD player, sofa bed and dining area. The kitchen is fully equipped with a kettle, oven, microwave and hob.<br /><br />All apartments include a bathroom with a hairdryer and a bath or shower. They are also equipped with a dishwasher, washing machine and ironing facilities.<br /><br /><b>The space</b><br />This 85 m2 apartment has free Wi-Fi, balcony, 1 bedroom with 1 double bed, 1 bedroom with 2 single beds, 1 bedroom with 1 single bed and 2 bathrooms. It also has a living room with plasma TV, DVD player and double sofa bed. The kitchen is equipped with a kettle, oven, microwave and stove. Towels and bed linen are provided.<br /><br /><b>Other things to note</b><br />The city of Barcelona obliges to apply a rate of € 2.48 per night and guest according to the official legislation in force. The collection of the fee will be made at the time of check-in.<br /><br /><b>License number</b><",Alguera Sant Andreu,within an hour,86%,"Barcelona, Catalunya, Spain",Entire home/apt,6,"[""Elevator"", ""Kitchen"", ""Microwave"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""Dishwasher"", ""Hangers"", ""Iron"", ""Private entrance"", ""Oven"", ""Dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Bathtub"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Smart lock"", ""Hair dryer"", ""Air conditioning"", ""Room-darkening shades"", ""Dishes and silverware"", ""Bed linens"", ""Essentials"", ""TV"", ""Stove""]",97.0,t,9.0,9.0,9.0,T,2.19,41.43855
405,Be Mate Paseo de Gracia Balcony 101,"Located in one of the most well-known and beautiful areas of Barcelona is located Be Mate Paseo de Gracia , a space with 25 recently renovated. The builing Be Mate Paseo de Gracia  counts with free WIFI connection and also with recepction service from 07:00 to 21:00, where you will be helped in everything you need to make your stay in Barcelona the best of your experiences. <br />An space that will meet all your expectations.<br /><br /><b>The space</b><br />The apartment BALCONY 101 is a cozy and bright space of 45m2 and also it counts with a small terrace, decorated with a modern style and everything necessary to cover your needs.  <br />With capacity for 2 guests, the apartment has 1 bedrooms with a double bed. Bed clothing and pillows are included in the bedroom. There is a full bathroom with shower, hairdryer, soap, shampoo and towels. The kitchen has everything necessary to prepare and taste your best meals, where you will find cookware, fridge, oven, ... The living room is an op",Be Mate,within an hour,80%,"Barcelona, Catalunya, Spain",Entire home/apt,2,"[""Elevator"", ""Kitchen"", ""Air conditioning"", ""TV"", ""Wifi"", ""Heating""]",97.0,t,10.0,10.0,10.0,T,2.15706,41.39798
406,Nice apartment with POOL BARCELONA,"Bright and cozy apartment  with pool in Barcelona, very close to the metro at 4 stops from the Sagrada Familia and at 7 from Paseo de Gracia, where you have Casa Batlló and La Pedrera of Antoni Gaudí, and from Paseo de Gracia station in just 5 minutes you arrive to the Ramblas of Barcelona and the Gotic Quartier<br /><br /><b>The space</b><br />Apartment of 57m2, totally exterior, very bright and decorated with all detail.<br />It has wi-fi included in the price, 3 bedrooms, 1 bathroom renovated, living room, well equipped kitchen with everything you need and dishwasher.<br />The biggest attraction is the communal swimming pool located on the 17th floor (open only in summer) from where you can see some amazing views of the city.<br />Building with elevator<br />Air conditioning in the living room<br /><br />Although the standard capacity of the apartment is 6 people, there is capacity for up to 8 people, but it’s recommended that the extra 2 people are children, for the size of the apa",Kristjan Y Ana,within a few hours,81%,"Barcelona, Catalonia, Spain",Entire home/apt,6,"[""Kitchen"", ""Microwave"", ""Elevator"", ""Coffee maker"", ""Long term stays allowed"", ""Hot water"", ""Cooking basics"", ""High chair"", ""Dishwasher"", ""Hangers"", ""Iron"", ""Oven"", ""Shampoo"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Crib"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Free street parking"", ""Bed linens"", ""Essentials"", ""Pool"", ""TV"", ""Stove"", ""Host greets you""]",97.0,t,9.0,9.0,9.0,T,2.20149,41.41626
407,Be Mate Paseo de Gracia Balcony 24,"Located in one of the most well-known and beautiful areas of Barcelona is located Be Mate Paseo de Gracia, a space with 25 recently renovated. The builing Be Mate Paseo de Gracia counts with free WIFI connection and also with recepction service from 07:00 to 23:00, where you will be helped in everything you need to make your stay in Barcelona the best of your experiences. <br />An space that will meet all your expectations.<br /><br /><b>The space</b><br />The apartment Balcony 204 is a cozy and bright space of 45m2 and also it counts with a small terrace, decorated with a modern style and everything necessary to cover your needs.  <br />With capacity for 2 guests, the apartment has 1 bedrooms with a double bed. Bed clothing and pillows are included in the bedroom. There is a full bathroom with shower, hairdryer, soap, shampoo and towels. The kitchen has everything necessary to prepare and taste your best meals, where you will find cookware, fridge, oven, microwave, dishwasher, washer ",Be Mate,within an hour,80%,"Barcelona, Catalunya, Spain",Entire home/apt,2,"[""Elevator"", ""Kitchen"", ""Air conditioning"", ""Shampoo"", ""TV"", ""Wifi"", ""Essentials""]",97.0,t,10.0,10.0,10.0,T,2.15936,41.39806
408,Be Mate Paseo de Gracia Balcony 304,"Located in one of the most well-known and beautiful areas of Barcelona is located Be Mate Paseo de Gracia, a space with 25 recently renovated. The builing BeMate BCN PG115 counts with free WIFI connection and also with recepction service from 07:00 to 21:00, where you will be helped in everything you need to make your stay in Barcelona the best of your experiences. <br />An space that will meet all your expectations.<br /><br /><b>The space</b><br />The apartment BALCONY 304 is a cozy and bright space of 45m2 and also it counts with a small terrace, decorated with a modern style and everything necessary to cover your needs.  <br />With capacity for 2 guests, the apartment has 1 bedrooms with a double bed. Bed clothing and pillows are included in the bedroom. There is a full bathroom with shower, hairdryer, soap, shampoo and towels. The kitchen has everything necessary to prepare and taste your best meals, where you will find cookware, fridge, oven, microwave, dishwasher, washer and dry",Be Mate,within an hour,80%,"Barcelona, Catalunya, Spain",Entire home/apt,2,"[""Kitchen"", ""Elevator"", ""Shampoo"", ""Air conditioning"", ""TV"", ""Wifi"", ""Heating"", ""Essentials""]",97.0,t,10.0,10.0,10.0,T,2.1585099999999997,41.39802
409,Be Safe :)  Exclusive flat for a stay next Gaudi,"Safety First :)  Modernity, complete quietness and comfort right in the corner of Paseo de Gracia and Casa Batllo  (Gaudi). Two excellent bedrooms suites. Full equipped.  Concierge during the day. Full of quality restaurants around. Metro very close to those who come to visit and those who come for work. Exiting the building available taxis will be easily found. If you want a great stay in the heart of Barcelona we will be very pleased to host you. See you soon    :)<br /><br /><b>The space</b><br />Comfort and design come together in this modern and fantastic recently restored apartment with two bedrooms suites. The kitchen is spacious and fully equipped with utensils and necessary appliances.<br />Its very spacious and sunny living room with high ceilings complete an apartment in which tenants will feel comfortable right away and which will find all the amenities needed to enjoy a pleasant stay (TV, Internet, telephone, air conditioning, heating, towels, sheets, etc, are deserved).<b",Marta+Paul,a few days or more,8%,"Barcelona, Catalunya, Spain",Entire home/apt,4,"[""Elevator"", ""Kitchen"", ""Microwave"", ""Coffee maker"", ""Long term stays allowed"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""High chair"", ""Paid parking on premises"", ""Dishwasher"", ""Hangers"", ""Iron"", ""Oven"", ""Dryer"", ""Shampoo"", ""Washer"", ""Paid parking off premises"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Patio or balcony"", ""Crib"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Bed linens"", ""Essentials"", ""TV"", ""Stove"", ""Host greets you""]",97.0,t,10.0,10.0,10.0,T,2.16495,41.390209999999996
410,Precioso Apartamento en Barcelona *Bcn* E02,"PRECIO ESPECIAL POR ALQUILER POR SEMANAS O MESES. CONSÚLTANOS!<br /><br />Confortable, hogareño y funcional apartamento en edificio completamente rehabilitado. Localizado en el distinguido barrio Eixample derecho de Barcelona,  donde se encuentran los lugares más emblemáticos de la ciudad.<br /><br /><b>The space</b><br />Para reservas de más de 32 noches no existe restricción alguna.<br /><br />Este moderno y equipado apartamento está diseñado para garantizar una estancia cómoda y confortable.<br /><br />Se accede por el hall de entrada, encontrándose justo a un lado, el closet.<br /><br />Seguidamente, se accede a un espacio abierto donde encontramos la cocina y una sala grande, donde podremos cocinar, leer, mirar TV o relajarse en el gran sofá. Este sofá puede convertirse en cama doble alojando así 2 huéspedes más.<br /><br />La sala linda con el dormitorio en suite, totalmente separado del resto del apartamento. La cama del dormitorio de 1800cm por 200cm dispone de mesitas de noche",Flateli,within a few hours,93%,"Barcelona, Catalunya, Spain",Entire home/apt,3,"[""Elevator"", ""Refrigerator"", ""Stove"", ""Wifi"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Shampoo"", ""Coffee maker"", ""Bed linens"", ""Keypad"", ""TV"", ""Hot water"", ""Air conditioning"", ""Essentials"", ""Microwave"", ""Paid parking off premises"", ""Cooking basics"", ""Hair dryer"", ""Hangers"", ""Kitchen"", ""Iron"", ""Heating"", ""Dedicated workspace"", ""Long term stays allowed""]",96.0,t,10.0,10.0,9.0,T,2.1739599999999997,41.398990000000005
411,New and bright apartment near Sagrada Familia,"Jazz BCN Apartments is a new  concept of  accommodation in Barcelona inspired by the Jazz genre. A  place designed  for people looking for comfort, style and all amenities  included.<br /> <br /> Jazz BCN Apartments buildings are strategically  located in a quiet  residential area of Eixample, just 5 minutes from the  Sagrada Familia.  Recently renovated, each apartment combines stylish  and modern  furnishing details. Hot Jazz 42 apartment takes its name from the   genre Hot Jazz; polished melodies and wind instruments. Following this   concept, the apartment has been designed to provide an atmosphere of   tranquility. As well, it features two pleasant bedrooms, a fully   equipped kitchen and a living room with plenty of natural light nice  terrace. It will  be the ideal place to enjoy a dream vacation thanks to  it nice terrace.<br /> <br /> * Recommended for family or group of friends.<br />* The Terrace that can be seen in the images, is shared, is located on the roof of the buildi",Habitat Apartments,within an hour,94%,"Barcelona, Spain",Entire home/apt,5,"[""Elevator"", ""Cable TV"", ""Wifi"", ""Washer"", ""Oven"", ""Air conditioning"", ""Essentials"", ""Crib"", ""TV"", ""Kitchen"", ""Shampoo"", ""Iron"", ""Coffee maker"", ""Dishwasher"", ""Hair dryer"", ""High chair"", ""Heating"", ""Microwave""]",96.0,t,9.0,9.0,9.0,T,2.17795,41.41254
412,Modern up to 5 guests next to Sagrada Familia,"Jazz BCN Apartments is a new concept of accommodation  in Barcelona inspired by the Jazz  genre. A place designed for people  looking for comfort, style and all  amenities included.<br /><br />Jazz  BCN Apartments building is  strategically located in a quiet residential  area of Eixample, just 5  minutes from the Sagrada Familia. Recently  renovated, each apartment  combines stylish and modern furnishing  details.<br /><br />Cool Jazz 52 apartment takes its  name from the genre Cool Jazz; soft, thoughtful and quiet  musical style.  Following this concept, the apartment has been designed  to provide an  atmosphere of tranquility. As well, it features two  pleasant bedrooms, a  kitchen open to dining room and a living room with  plenty of natural  light. It will be the ideal place to enjoy a dream  vacation with all  services included.<br /><br />* Recommended for family or group of friends.<br />* The Terrace that can be seen in the images, is shared, is located on the roof of the buil",Habitat Apartments,within an hour,94%,"Barcelona, Spain",Entire home/apt,5,"[""Elevator"", ""Cable TV"", ""Wifi"", ""Washer"", ""Oven"", ""Air conditioning"", ""Essentials"", ""Crib"", ""TV"", ""Kitchen"", ""Shampoo"", ""Iron"", ""Coffee maker"", ""Dishwasher"", ""Hair dryer"", ""High chair"", ""Heating"", ""Microwave""]",96.0,t,9.0,9.0,9.0,T,2.1768099999999997,41.41075
